id;name;start_date;end_date;is_active
1;contextually-based Home Loan Account Books;2020-05-07T21:28:27;2020-05-07T16:32:12;true
2;relationships Refined Frozen Table Infrastructure;2020-05-07T08:35:49;2020-05-07T16:24:55;false
3;Tasty Soft Tuna Kansas;2020-05-07T12:57:46;2020-05-07T21:44:41;false
4;Tasty Concrete Salad exploit;2020-05-07T04:46:05;2020-05-07T12:15:45;false
5;Soft;2020-05-07T05:50:32;2020-05-07T00:38:52;false
6;redefine digital;2020-05-07T18:39:32;2020-05-07T16:38:32;true
7;Guadeloupe invoice;2020-05-07T17:12:51;2020-05-07T02:55:38;true
8;Berkshire Alley revolutionary;2020-05-07T12:23:32;2020-05-07T13:42:03;false
9;bypassing;2020-05-07T03:19:58;2020-05-06T23:10:38;false
10;index Enhanced;2020-05-07T17:23:40;2020-05-07T11:27:08;true
