id;start_date;end_date;note
1;2020-05-07T05:08:02;2020-05-07T03:51:50;invoice Metal
2;2020-05-07T21:30:21;2020-05-07T08:44:12;bypassing cyan port
3;2020-05-07T21:54:35;2020-05-07T04:27:01;Arizona overriding
4;2020-05-07T16:55:30;2020-05-07T14:41:16;withdrawal Consultant payment
5;2020-05-07T16:52:13;2020-05-07T01:18:21;transmitter red tertiary
6;2020-05-07T15:09:25;2020-05-07T02:01:59;index Flats
7;2020-05-07T08:33:54;2020-05-07T19:51:43;Sweden world-class Rapid
8;2020-05-07T11:15:17;2020-05-06T22:36:50;Toys
9;2020-05-07T19:17:50;2020-05-07T02:08:56;parsing
10;2020-05-07T20:39:35;2020-05-07T09:54:51;Centralized e-business Solutions
